ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
1,13904,0,29,0,1,1,0,0,0,2,4,1,0
0,14754,0,25,1,1,0,1,0,3,0,3,1,0
1,37945,0,62,2,1,0,0,1,1,0,4,0,2
0,12504,0,32,2,1,0,1,0,1,0,1,0,0
0,12423,0,57,1,2,0,0,1,2,1,4,0,0
0,14605,0,28,2,1,1,1,1,0,0,2,0,4
1,9592,0,24,2,1,0,1,0,3,0,2,0,2
1,11179,0,27,0,1,0,1,1,1,0,0,0,3
1,69211,0,27,3,1,1,0,0,1,1,3,0,4
1,3642,0,34,2,2,0,1,0,0,0,4,0,4
0,40157,0,39,2,1,0,1,1,0,0,2,0,2
1,14794,0,39,2,1,0,1,0,3,0,1,0,4
0,69457,0,36,3,2,0,1,1,1,1,0,0,0
1,7235,0,32,2,1,0,1,0,3,1,2,0,2
0,20220,0,19,2,1,1,1,0,1,0,3,0,1
1,20662,0,48,3,1,0,1,1,3,0,2,0,4
1,11360,0,35,2,1,0,0,0,3,0,1,0,4
0,28295,0,23,2,1,1,0,0,1,0,2,1,3
1,12974,0,55,3,1,1,0,1,3,4,3,0,4
1,18942,0,26,2,1,0,1,0,2,0,2,0,2
0,49881,0,29,1,1,0,1,1,1,0,2,0,2
0,35765,0,41,2,1,1,0,1,3,0,2,0,3
0,28531,0,39,2,1,0,1,0,1,3,3,1,3
0,16197,0,24,1,1,1,0,0,0,0,3,0,0
0,8228,0,36,2,1,0,1,0,0,0,1,0,0
0,69339,0,49,2,1,0,0,0,0,0,4,0,0
0,11834,0,62,2,1,1,1,1,1,0,1,0,0
0,13264,0,39,2,1,0,1,0,1,1,0,0,0
1,28112,0,36,2,2,0,0,0,3,1,1,0,4
1,23645,0,33,2,1,0,1,0,3,4,2,0,4
1,7507,0,22,1,1,1,0,0,3,4,4,0,2
1,21084,0,23,2,1,0,1,0,3,1,2,0,2
0,12692,0,66,2,1,0,1,0,1,0,2,0,2
1,9684,0,52,1,1,1,1,1,1,1,1,0,0
0,14106,0,35,3,2,0,0,1,0,0,3,0,0
1,46981,0,30,3,1,0,0,0,1,0,1,0,1
1,23429,0,26,2,1,0,1,0,3,0,2,0,2
1,31352,0,46,3,1,1,0,1,3,2,3,0,3
1,38817,0,29,2,1,0,1,0,1,0,3,0,1
0,18465,0,54,2,1,0,1,0,3,1,2,0,0
0,35201,0,40,2,1,0,1,0,0,0,3,0,0
1,18991,0,57,2,1,0,1,0,0,0,3,0,4
0,48456,0,31,2,1,0,1,1,0,0,1,0,2
1,20745,0,26,2,1,1,0,0,3,0,1,0,3
1,20554,0,35,2,1,1,0,0,3,0,3,0,2
0,84228,0,28,2,1,0,0,0,1,0,4,0,0
1,28075,0,42,2,1,0,0,0,2,4,4,1,4
0,18577,0,47,1,1,0,0,0,1,0,2,0,0
0,12576,0,23,3,1,0,1,1,1,0,3,0,0
0,14285,0,26,2,1,1,0,1,1,1,2,0,2
1,54085,0,49,3,1,0,0,1,0,0,4,0,4
0,34726,0,22,2,1,1,0,0,1,1,2,0,0
1,23202,0,30,1,1,0,1,0,0,0,4,0,0
0,29694,0,46,2,1,1,0,0,1,0,1,0,0
1,8990,0,22,2,1,0,0,0,3,0,4,0,4
1,63664,0,35,2,1,0,1,0,3,4,4,0,4
1,12614,0,45,1,1,0,1,0,3,4,4,0,2
1,13575,0,47,2,1,0,1,0,3,0,3,0,2
0,64328,0,28,3,2,0,1,1,3,0,4,0,0
0,10907,0,30,2,1,0,1,0,3,0,4,0,1
1,4619,0,26,1,1,0,1,0,1,0,4,0,4
1,11029,0,23,2,1,0,1,0,1,0,2,0,4
1,13537,0,25,2,1,0,1,1,2,0,1,0,0
0,45929,0,54,3,1,0,1,0,3,3,2,0,2
1,2837,0,22,3,1,1,1,0,0,0,2,0,4
0,27266,0,31,2,2,0,1,0,0,0,1,0,0
0,26877,0,27,3,1,0,1,1,3,2,3,0,2
0,126834,0,40,3,1,0,0,1,3,4,2,1,0
1,18317,0,49,2,1,1,0,0,3,0,2,0,2
1,13547,0,30,2,1,1,1,1,0,4,3,0,0
1,22380,0,26,2,1,0,1,0,3,0,4,0,0
